architecture_id	total_junctions	min_rank	max_rank	avg_rank	num_strong_0.5	num_strong_1.0	num_strong_2.0
C01_H01_B088	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B089	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B090	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B091	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B092	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B093	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B094	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B095	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B096	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B097	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B098	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B099	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B100	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B101	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B102	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B103	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B104	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B105	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B106	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B107	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B108	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B109	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B110	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B111	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B112	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B113	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B114	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B115	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B116	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B117	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B118	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B119	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B120	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B121	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B122	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B123	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B124	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B125	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B126	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B127	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B128	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B129	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B130	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B131	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B132	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B133	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B134	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B135	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B136	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B137	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B138	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B139	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B140	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B141	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B142	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B143	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B144	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B145	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B146	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B147	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B148	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B149	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B150	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B151	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B152	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B153	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B154	72	0.0596	84.9405	24.62550138888889	1	4	6
